visitor_parking,Range_Minimum,Range_Maximum,Mean,StDev,Median
BOTH,10,719,170.07894736842104,119.21990526057647,150
FREE,10,4111,108.02530730296456,137.98570081081624,79
PAID,11,638,165.0603015075377,126.64787409190707,146.5
UNAVAILABLE,10,575,42.829286239882265,53.17038770245886,28
NA,0,250,30.39080459770115,39.59984622998072,16
